2013/02/10,68.9,2013
2013/02/11,68.4,2013
2013/02/12,69.25,2013
2013/02/13,67.7,2013
2013/02/14,67.5,2013
2013/02/15,67.9,2013
2013/02/16,69.3,2013
2013/02/17,69.3,2013
2013/02/18,68.5,2013
2013/02/19,67.5,2013
2013/02/20,68,2013
2013/02/21,68,2013
2013/02/22,68.5,2013
2013/02/25,68.4,2013
2013/02/26,67.8,2013
2013/02/27,68.9,2013
2013/03/01,67.9,2013
2013/03/02,68.2,2013
2013/03/09,68.9,2013
2013/03/13,68.4,2013
2013/03/15,67.2,2013
2013/03/18,69.1,2013
2013/03/19,68.1,2013
2013/03/20,68.7,2013
2013/03/22,69.2,2013
2013/03/23,68.4,2013
2013/03/24,68.5,2013
2013/03/25,68.2,2013
2013/03/29,68.7,2013
2013/03/31,68.6,2013
2013/04/01,68.6,2013
2013/04/04,68.8,2013
2013/04/05,68.1,2013
2013/04/09,67.6,2013
2013/04/10,68,2013
2013/04/12,67.9,2013
2013/04/15,67.4,2013
2013/04/16,68.3,2013
2013/04/17,68.3,2013
2013/04/18,67.4,2013
2013/04/22,67.9,2013
2013/04/23,66.6,2013
2013/04/24,67.6,2013
2013/04/26,67.8,2013
2013/04/30,66.5,2013
2013/05/01,66.4,2013
2013/05/03,66.7,2013
2013/05/04,66.6,2013
2013/05/05,67,2013
2013/05/07,66.8,2013
2013/05/08,67,2013
2013/05/09,66.9,2013
2013/05/10,66.2,2013
2013/05/11,66.9,2013
2013/05/12,67.3,2013
2013/05/13,66.4,2013
2013/05/16,66.7,2013
2013/05/17,67.7,2013
2013/05/19,67,2013
2013/05/20,67.1,2013
2013/05/21,66.4,2013
2013/06/02,67.15,2013
2013/06/04,66.8,2013
2013/06/12,67,2013
2013/06/17,67.6,2013
2013/06/19,67.6,2013
2013/06/22,68.2,2013
2013/06/25,67.9,2013
2013/06/26,68.3,2013
2013/06/27,68.1,2013
2013/06/28,68.2,2013
2013/06/29,68.2,2013
2013/07/01,68.1,2013
2013/07/13,67.9,2013
2013/07/14,67.2,2013
2013/07/23,67.9,2013
2013/09/02,69.4,2013
2013/09/04,68.9,2013
2013/09/05,69.1,2013
2013/09/06,70,2013
2013/09/09,70.2,2013
2013/09/27,69.9,2013
2013/10/01,68.7,2013
2013/10/07,67.8,2013
2013/10/08,68.2,2013
2013/10/19,70,2013
2013/10/30,69.2,2013
2013/10/31,68.9,2013
2013/11/11,69,2013
2013/11/14,70.8,2013
2013/11/16,69.2,2013
2013/11/20,70.1,2013
2013/11/21,69.8,2013
2013/12/17,71.1,2013
2013/12/18,71,2013
2013/12/23,70,2013
2013/12/31,71.2,2013
2014/01/02,71.4,2014
2014/01/06,72.1,2014
2014/01/07,71.6,2014
2014/01/09,71.9,2014
2014/01/10,71.9,2014
2014/01/15,71.3,2014
2014/01/17,71.6,2014
2014/01/20,72.3,2014
2014/01/24,71.2,2014
2014/01/27,71.7,2014
2014/01/28,70.8,2014
2014/01/29,71.3,2014
2014/02/01,70.6,2014
2014/02/02,71.3,2014
2014/02/03,71,2014
2014/02/04,70.2,2014
2014/02/05,69.3,2014
2014/02/06,69.3,2014
2014/02/07,69.7,2014
2014/02/10,71.3,2014
2014/02/12,70.4,2014
2014/02/14,70.2,2014
2014/02/15,69.9,2014
2014/02/16,69.6,2014
2014/02/17,70.4,2014
2014/02/24,69.8,2014
2014/02/27,68.8,2014
2014/03/12,69,2014
2014/03/19,69.4,2014
2014/03/31,70.4,2014
2014/04/01,69.7,2014
2014/04/03,69.9,2014
2014/04/07,69.8,2014
2014/04/08,69.3,2014
2014/04/09,70,2014
2014/04/10,70,2014
2014/04/15,69.5,2014
2014/04/17,70.3,2014
2014/04/18,69.6,2014
2014/04/20,70.3,2014
2014/04/21,69.1,2014
2014/04/22,69.8,2014
2014/04/23,69.8,2014
2014/04/24,69.4,2014
2014/04/27,70,2014
2014/04/28,69.6,2014
2014/04/29,68.5,2014
2014/05/01,68.3,2014
2014/05/06,69.5,2014
2014/05/07,68.6,2014
2014/05/08,67.9,2014
2014/05/09,67.4,2014
2014/05/10,68.4,2014
2014/05/12,67.8,2014
2014/05/13,68,2014
2014/05/14,69.3,2014
2014/05/15,67.8,2014
2014/05/16,67,2014
2014/05/21,68.1,2014
2014/05/22,68,2014
2014/05/23,67.7,2014
2014/05/24,68.1,2014
2014/05/26,69.1,2014
2014/05/27,67.7,2014
2014/05/28,68.5,2014
2014/05/29,67.5,2014
2014/05/30,67.5,2014
2014/05/31,67.2,2014
2014/06/03,67.4,2014
2014/06/04,67.9,2014
2014/06/05,67.3,2014
2014/06/07,68.3,2014
2014/06/09,67.2,2014
2014/06/17,68.1,2014
2014/06/19,68.3,2014
2014/06/25,68.4,2014
2014/06/27,67.9,2014
2014/07/02,68.6,2014
2014/07/03,69,2014
2014/07/04,68.6,2014
2014/07/08,67.6,2014
2014/07/10,68.7,2014
2014/07/16,68.7,2014
2014/07/17,68.4,2014
2014/07/24,68,2014
2014/07/25,68.2,2014
2014/07/28,69.7,2014
2014/08/06,68,2014
2014/08/11,68.7,2014
2014/08/14,68.1,2014
2014/08/15,67.6,2014
2014/08/19,68.1,2014
2014/08/20,68.6,2014
2014/08/21,68.5,2014
2014/08/22,67.8,2014
2014/08/26,68.7,2014
2014/09/29,70,2014
2014/10/01,68.9,2014
2014/10/21,70.3,2014
2014/10/22,69.7,2014
2014/10/23,69.5,2014
2014/10/24,70.2,2014
2014/10/27,70.3,2014
2014/10/28,69.7,2014
2014/10/31,69.7,2014
2014/11/13,70.7,2014
2014/11/19,69.2,2014
2014/11/20,70.4,2014
2014/11/22,70.3,2014
2014/12/01,70.8,2014
2014/12/02,70.8,2014
2014/12/04,70.9,2014
2014/12/05,70.6,2014
2014/12/06,70.2,2014
2014/12/07,69.9,2014
2014/12/08,70.6,2014
2014/12/09,69.9,2014
2014/12/10,69.8,2014
2014/12/11,70.2,2014
2014/12/12,70,2014
2014/12/13,71.2,2014
2014/12/16,69.6,2014
2014/12/17,69.6,2014
2014/12/20,70.5,2014
2014/12/30,71,2014
2015/01/08,70.4,2015
2015/01/09,70.7,2015
2015/01/11,71.3,2015
2015/01/13,70.8,2015
2015/01/16,70.9,2015
2015/01/21,71.4,2015
2015/01/25,70.5,2015
2015/01/28,70.5,2015
2015/02/02,69.9,2015
2015/02/04,69.6,2015
2015/02/05,69.1,2015
2015/02/06,70.3,2015
2015/02/12,70,2015
2015/02/13,69.6,2015
2015/02/15,68.9,2015
2015/03/01,69.8,2015
2015/03/02,69.9,2015
2015/03/07,69.4,2015
2015/03/09,69.9,2015
2015/03/11,69.8,2015
2015/03/17,69.6,2015
2015/03/18,69.6,2015
2015/03/20,70.1,2015
2015/04/02,69.9,2015
2015/04/03,69.2,2015
2015/04/06,70.9,2015
2015/04/07,70.1,2015
2015/04/15,70.6,2015
2015/04/18,70.3,2015
2015/04/21,70.6,2015
2015/04/22,70,2015
2015/04/24,70.4,2015
2015/04/25,70.3,2015
2015/04/27,70.9,2015
2015/04/28,70,2015
2015/04/29,70.8,2015
2015/05/03,70.3,2015
2015/05/05,70.9,2015
2015/05/06,70.1,2015
2015/05/08,70.3,2015
2015/05/11,70.5,2015
2015/05/14,70.1,2015
2015/05/21,70.2,2015
2015/05/22,70,2015
2015/05/27,70.3,2015
2015/05/28,70,2015
2015/05/29,69.9,2015
2015/06/05,69.9,2015
2015/06/07,70.2,2015
2015/06/08,71.1,2015
2015/06/09,70.1,2015
2015/06/10,70.5,2015
2015/06/11,70,2015
2015/06/12,70,2015
2015/06/14,70.4,2015
2015/06/15,70.5,2015
2015/06/16,69.1,2015
2015/06/18,69.2,2015
2015/06/19,68.8,2015
2015/06/20,68.9,2015
2015/06/21,69.2,2015
2015/06/22,69.9,2015
2015/06/23,69.5,2015
2015/06/24,68.9,2015
2015/06/25,69.3,2015
2015/06/26,68.9,2015
2015/06/27,68.7,2015
2015/06/28,68.6,2015
2015/06/30,69.6,2015
2015/07/01,69.1,2015
2015/07/02,68.8,2015
2015/07/21,70.2,2015
2015/07/22,69.9,2015
2015/07/23,69.8,2015
2015/07/24,68.8,2015
2015/07/25,69,2015
2015/07/26,69.7,2015
2015/07/27,69.2,2015
2015/07/28,69.6,2015
2015/07/29,67.9,2015
2015/07/30,66.5,2015
2015/07/31,68.9,2015
2015/08/01,68.3,2015
2015/08/03,69.5,2015
2015/08/04,69,2015
2015/08/05,70.1,2015
2015/08/06,68.9,2015
2015/08/08,67.4,2015
2015/08/09,68.4,2015
2015/08/14,68,2015
2015/08/16,69.4,2015
2015/08/17,68.7,2015
2015/09/03,68.7,2015
2015/09/17,69.7,2015
2015/09/19,70.6,2015
2015/09/20,69.9,2015
2015/09/21,69.9,2015
2015/09/22,70.6,2015
2015/09/23,70.1,2015
2015/09/30,70.2,2015
2015/10/01,70,2015
2015/10/30,69.2,2015
2015/11/10,70.5,2015
2015/11/11,69.8,2015
2015/11/14,70,2015
2015/11/24,70,2015
2015/11/30,70.6,2015
2015/12/01,70.1,2015
2015/12/03,71,2015
2015/12/04,70.3,2015
2015/12/05,69.9,2015
2015/12/23,70.8,2015
2015/12/26,70.4,2015
2016/01/04,71,2016
2016/01/05,70.8,2016
2016/01/11,71,2016
2016/01/13,71.3,2016
2016/01/14,70.9,2016
2016/01/15,70.5,2016
2016/01/25,71.1,2016
2016/01/26,70.7,2016
2016/01/27,70.1,2016
2016/01/28,69.9,2016
2016/01/29,69.9,2016
2016/01/30,69.7,2016
2016/01/31,70.7,2016
2016/02/01,71,2016
2016/02/04,70.3,2016
2016/02/05,70.6,2016
2016/02/08,69.6,2016
2016/02/09,69.4,2016
2016/02/10,69.7,2016
2016/02/12,69.6,2016
2016/02/13,69.6,2016
2016/02/15,70.1,2016
2016/02/17,69.4,2016
2016/02/19,69.7,2016
2016/02/22,69.8,2016
2016/02/24,69,2016
2016/02/25,69.3,2016
2016/02/26,68.4,2016
2016/02/29,69.6,2016
2016/03/01,69.45,2016
2016/03/03,68.2,2016
2016/03/04,69.1,2016
2016/03/05,68.9,2016
2016/03/06,68,2016
2016/03/07,67.9,2016
2016/03/08,69.8,2016
2016/03/09,68.7,2016
2016/03/11,68.7,2016
2016/03/12,67.8,2016
2016/03/13,68.3,2016
2016/03/17,68.1,2016
2016/03/18,68,2016
2016/03/23,68.5,2016
2016/03/24,67.5,2016
2016/03/26,69,2016
2016/03/30,67.4,2016
2016/03/31,67.4,2016
2016/04/01,68.1,2016
2016/04/02,68.5,2016
2016/04/05,68.5,2016
2016/04/06,67.7,2016
2016/04/07,68.1,2016
2016/04/11,68.6,2016
2016/04/13,68.6,2016
2016/04/14,67.9,2016
2016/04/15,67.8,2016
2016/04/17,69.1,2016
2016/04/22,68.7,2016
2016/04/23,68.3,2016
2016/04/27,69.3,2016
2016/04/28,69.2,2016
2016/05/07,70.2,2016
2016/05/10,68.8,2016
2016/05/12,69.2,2016
2016/05/13,69.1,2016
2016/05/17,69.9,2016
2016/05/18,69.9,2016
2016/05/19,69.7,2016
2016/05/20,68.8,2016
2016/05/21,68.4,2016
2016/05/31,70.2,2016
2016/06/01,68.9,2016
2016/06/07,70.2,2016
2016/06/09,69.9,2016
2016/06/10,69.5,2016
2016/06/13,69.5,2016
2016/06/16,70.8,2016
2016/06/21,69.5,2016
2016/06/22,69.7,2016
2016/06/23,69.6,2016
2016/06/24,70.5,2016
2016/06/25,69.7,2016
2016/07/05,70.3,2016
2016/07/08,69.8,2016
2016/07/11,70.4,2016
2016/07/21,70.2,2016
2016/07/22,70.2,2016
2016/07/26,69.9,2016
2016/07/28,69.7,2016
2016/07/29,70.6,2016
2016/08/08,70.8,2016
2016/08/13,70.4,2016
2016/08/18,69.8,2016
2016/08/19,69.4,2016
2016/08/23,70.2,2016
2016/09/02,71.8,2016
2016/09/07,70.2,2016
2016/09/09,71.4,2016
2016/09/16,70.6,2016
2016/09/23,70.6,2016
2016/09/28,70.3,2016
2016/10/05,70.7,2016
2016/10/07,70.8,2016
2016/10/15,71.5,2016
2016/11/01,71.5,2016
2016/11/08,70.5,2016
2016/11/09,71.1,2016
2016/11/10,71.3,2016
2016/11/15,71.7,2016
2016/11/16,71.2,2016
2016/11/17,69.7,2016
2016/11/18,70.1,2016
2016/11/20,71.3,2016
2016/11/23,70.6,2016
2016/11/24,70.6,2016
2016/12/01,70.8,2016
2016/12/02,70.6,2016
2016/12/03,70.75,2016
2016/12/05,71.35,2016
2016/12/09,69.85,2016
2016/12/13,70.7,2016
2016/12/15,70.35,2016